,pos,neg
28,"Экран, камера, дизайн ",-
29,"Отличная батарея, все преимущества андроид, хорошая камера для фото, стабилизация на видео в fullHD качестве. Характеристики нехуже чем, у 10 яблока",Пока не выявил
30,"Стильный, приятно лежит в руке, брутально смотрится, высокая производительность",Пока не нашел
31,iOS ,"Батарея , цена неоправданно высокая "
32,Работает быстро ,"Фото и видео никакие, неудобно держать в руке "
33,Очень хороший и быстрый ,Смените матовый корпус
34,"Внешний вид, скорость работы. Очень приятно держать в руках))) После него беру другой и не понимаю как раньше с таким же ходил.",БАТАРЕЯ!!! Это жесть!!! Несколько дней подряд при зарядке 100% на 12 часов ночи к 8 утра заряд около 20%!!! Как такое может быть? Приложения все закрываю. Днем находится постоянно на зарядке. Телефону 2 месяца!!! Что же будет через год? 
35,"Долго держит батарею, максимум производительности, мощный процессор и супер камера которая при максимальном увеличении видит всё, пробовал на удаление и около 20 метров видит на ура. ","Пока не обнаружено, полет 2 месяца "
36,"Компактный, хорошая камера, отличное видео,шустрый,большая память","Камера оказалась не настолько хороша, как рекламировали, почему-то при разговоре экран всё равно активизируется и ухом какие-то действия производятся, на других моделях подобного не было. "
37,"Камеры, хорошо держит заряд",-
38,Платишь менше получаешь больше.,"За три года не обнаружил, хотя и второй Xiaomi  у меня по счёту."
39,"Работает быстро, камера отличная, фото ночью при искусственном освещении получаются очень живые",Пока нет
40,Отличное стекло форма,За год дважды отказывал динамик телефон становился глухонемой очень неприятная ситуация ремонт по горантии 45 суток бред
41,"Телефон вообще не лагает не боится воды хотя.. ip67 
Но я его держал под водой больше 3 часа на глубине 2 метра 
Ну наверное многие уже поняли то что у пеня айфон 7
Советую всем и скажу то что он компактный удобный быстрый ","Только есть один минус это то что зарядку не хорошо держит.. но это уже проблема не в самом телефоне а в аккумуляторе..
Но после обновления 13.1.3 зарядку телефон стал держать лучше но по любому это не то что мы хотим и ждём от айфона????"
42,"Удобный прайс, и многое др. в пользовании на уровне обывателя.",Необоснованно сверх завышенная цена ~ в 6 раз. 
43,"Большой экран, хорошая камера.",Нет
44,Типа Эпол,Дорого и устарело 
45,"Прекрасен, функционален, быстр","За такую цену хочется бескомпромиссности во всём. 
У меня есть ещё HTC U11, так вот, тайванец значительно превосходит корейцы в воспроизведении звука через наушники и на две головы лучше записывает звук при видеосъемке своими 4мя микрофонами. И качество фото на мой взгляд вполне сопоставимо. Особенно, если учесть что  НТС U11 старше на год и имеет всего одну камеру"
46,Дисплей ,"То динамики подводят, то умирает без причины. Часто приходится звонить в службу поддержки."
47,"Стабильная работа, яркий дисплей, быстрота в интернете, долго держит зарядку, красивая картинка на дисплее","Слабая фронтальная камера- при недостатке света изображение ужасное, часто не может навести на резкость, в режиме панорама изображение низкого разрешения и тд"
48,"Очень удобный,и быстрый интерфейс,прекрасное изображение на экране,хорошая батарея,ну меня все устраивает,ставлю 5",Кнопка отпечатков пальца чуть чуть не удобная
49,"Мощнейший процессор( абсолютно все игры на максимальных настройках), сумасшедшая скорость работы, потрясающий IPS экран с огромным разрешением и потрясающей передачей цветов в отличие от smiled, глаза не устают, а пиковая яркость на солнце лучше вообще большинства экранов, тончайший, скошенный по краям цельнометаллический корпус с потрясающей обработкой, в руке держится как никто другой, чистый андроид( скоро обновится уже до 9), динамик намного лучше других устройств, двойная камера с оптикой zeiss и фирменным приложением камеры, как в lumia снимает после каждого обновления всё лучше и лучше, хотя с самого начала была шикарна, дизайн nokia как в лучшие времена,цена просто шокирующее низкая 30000 аже в официальном магазине с подарками, в серых магазинах вообще от 22000.",Никаких
50,Быстрый. Качественный экран и звук. Защита от влаги. Качественная камера. Быстро работает,При активном использовании батареи не хватит на сутки
51,Honor Huawei самые крутые смортфоны a айфон курит в сторонке)) ,Одни плюсы++++
52,"Шустрый,быстрый,радует глаз+spen
Деловые люди оценят лучше меня)",Дорогой)
53,Все бла бла бла бла что есть в новинках и топовых смартах...,Тормозит прошива у самсунга!!!
54,"Скорость навигации, отличные фото и видиосъемка. Фотографии В жизненном режиме, волны, бег, последние движения при съемке.",Выскальзывает из рук. 
55,"Производительность, абсолютно не нагревается, стильный, лёгкий, офигенно красивая задняя крышка, камера просто бомба, камеру сравнивал с Apple XR и Xiaomi модель не помню. Большая внутренняя память. В общем идеальный телефон",Нет слота для карты памяти
56,"Камера супер, батарея огонь. Все огонь. Вообще не пожалел. ","За два месяца минусов не нашел, но мне кажется людям с маленькой ладонью будет неудобно. "
57," Экран размером и качеством нравится, цена-самое то, не тормозит, снимает достойно","Лучше бы убрали эту чёлку и вместо её, подняли бы вверх динамик с камерой и все датчики вместили в полосу, и снизу можно увеличить экран по вертикали"
58,"Хороший экран, быстродействие, сам вроде очищается или не понял, как это делается, раньше было понятно ","Заряд держит так же как и 6 и 7 ка разницы не заметил, так же зависает иногда козырек очень раздражает. Разницы вообще никакой только понты и цена бешеная +25 тысяч "
59,Нет,"После выхода следующей модели предыдущие начинают жестко тормозить, специально программно занижают производительность! Чтоб покупали новый и заботятся о вашем аккумуляторе!"
60,"Производительность, экран, камера, защита от воды, возможность беспроводной зарядки","Хотелось бы face id, но тогда он был бы дороже, да и сканер отличный"
61,Хорошее покрытие экрана,"Очень плохо держит заряд, за 17 часов разряжается в ноль. Родная камера - УГ. "
62,"Nokia 8

","Не получит 10-ку
"
63,"2 сим-карты и отдельный лоток для микро-SD, NFC, сканер отпечатка пальцев, хороший звук в динамике, яркий дисплей с адекватно работающим датчиком автояркости, отличный внешний вид, хорошо ловит сигнал, регулярные обновления безопасности. Телефон очень хорошо лежит в руке, приятные тактильные ощущения.","Отсутствует индикатор уведомлений и нет фирменного Glance Screen, решается установкой сторонних программ."
64,Один сплошной плюс,Нету
65,"Классная батарея, забыла что такое зарядка с собой... ",Хрупкий... Разбила забнюю панель на 4тый день????
66,"Шикарная камера, небольшая цена",Нет
67,"Камера улучшена. Размер как у 7iphone. Быстрее заметно работает чем 6-7iphone и 64GB - самая маленькая память. Кнопка home в 8 есть, что удобно. Проаерка по лицу - интересная деталь.  ","В X модель нет кнопки, иногда это не удобно. С кнопкой home намного удобнее. Батарея такая же как и в 6-7, через 1.5 часа активного использования, надо заряжать. Могли бы батарею улучшить, чтобы чаза 3 хотя бы держала. "
68,"Хороший экран, топовый процессор, приемлемая цена, неплохие камеры.","Нет защиты от воды, нет бесконтактной оплаты, нет ИК порта."
69,Всё кроме экрана,"Не хватает яркости экрана на солнце, очень плохо видно.фотографиюсделать проблематично."
70,"AndroidOne, быстродействие и производительность, возможность быстрой зарядки, добротный экран, отличный звук в наушниках, хороший микрофон, запись звука на высоте благодаря ozo audio.",За более чем полгода серьёзных недостатков не выявил.
71,Отличный телефон.уже 3 года в использовании ни каких нареканий.замены на достойный не подобрал еще,Так как я работаю с металлической пылью минус в том что к микрофону липнет все и потом плохо слышно собеседнику
72,Телефон супер,"Выключается на морозе и тупит даже при +2 градусах, не всегда работает тач айди при разблокировке."
73,"Быстрый. Пока быстрый. Со временем, как и все старые айфоны станет медленным и тупым. Такова политика компании apple. ","1) Нету dtmf сигнала, который есть у всех кнопочных телефонов
2) Разговоры округляются до 1 минуты. Проговорили 2 мин 2 сек ? В истории покажет  2 минуты. Кто разговаривает в роуминге, тот попадает на лишние деньги
3) При звонке не видно что абонент кому вы звоните разговаривает с кем-то. На всех кнопочных телефонах появляется надпись ОЖИДАНИЕ. У айфона нет такого
4) Хрупкий
5) Камера снимает с отражением (зеркалит) яркие объекты (например, лампочки и фонарные столбы)
6. GPS работает на долисекунды и даже секунды, хуже чем у старого Iphone 5. Задержки с определением локации
7. На новых симкартах мегафона, вручную нельзя переключиться на сеть 2G ! "
74,"Прочный экран, привлекательный дизайн, хорошая работа в интернете.",Слабая батарея которой не хватает на весь день. Весьма слабые и темные фото снимки. 
75,"Шустрый, красивый, громкий, удобно лежащий в руке, с отличной камерой умный смартфон. Самое лучшее устройство изо всех, что у меня были (а телефонов было у меня немало).",Батарею бы помощнее..
76,Их нет,"Камера, корпус, глючит постоянно! Зарядку держит очень плохо!"
77,"Большой безрамочный экран, ios ",Нет
78,"Тех характеристики, а именно кол-во оперативки у меня 8гб,модель А6010, быстродействия системы. Проц. ","Низкое разрешение экрана, низкая яркость особенно это заметно днем при ярком солнце.. До этого у меня был Samsung Galaxy S8, так что есть с чем сравнить. Нет поддержки HDR. "
79,"Отличная работа смартфона, тянет самые требовательные игры графика великолепная, без подвисаний. Полная зарядка с 0% за 1,5 часа.",Из минусов аккамулятора хватает на 6-8 чамов непрерывной работы в интернета
80,"Быстродействие, камера, дисплей, быстрая зарядка, хорошая автономность, oxygenOS.",Не обнаружил
81,"Большой, красивый, качественный дисплей, очень эргономичный дизайн, удобное расположение клавиш и всех органов управления.","К недостатку могу отнести относительную работоспособность датчика отпечатка пальцев. Датчик не всегда распознаёт пальцы, иногда фантомное срабатывание имеет место быть ( чувствуется по вибрации) либо полное отсутствие работоспособности. После нажатия на клавишу включения, начинает работать заново. Так-же датчик отказывается работать после завершения разговора. опять же приходится разблокировать аппарат."
82,"Время работы (у меня примерно 2-3 дня)
Камера (великолепная камера, портретный режим, видео 4К 60 кадров)
Экран (удобно пользоваться и одной рукой, глаза не устают после 6 айфона, режим true tone очень удобен)
Беспроводная зарядка (никаких проводов, положил телефон и он заряжается)","Задняя панель из стекла (страшно уронить, носить без чехла не советую)"
83,Простой и удобный интерфейс. Быстрый интернет.фото классные. В руке очень приятный. ,Плохо работает камера. Очень реагирует на движение руки и видео получается смазанным. Маловато памяти. Почему то нет диктофона. Не всегда срабатывает сенсор отпечатка.
84,Супер. ,Нет. 
85,"Удобный, шустрый, стильный. Очень нравится мне. Хорошо держи заряд, не греется. Память 128гб  больше чем достаточно, слот на 2 сим+какта памяти. Фото, мне хватает. ",Я не обнаружил. 
86,"Быстрая зарядка
Зарядки хватает на долго. 
Прекрасен в использование. 
Шустрый сенсер. 
Отличная камера. ",Минусов пока не найдено 
87,"Дизайн, размеры, производительность, камера, объём внутренней памяти",Если только наушники из комплекта простенькие...
88,недорогой,"слабый аккумулятор, большой экран"
89,"Производительность
Экран
Размер
IOS 11.3
Камера
",Батарея(но это скорее +-)
90,"Достойная цена за такой телефон, каиера на 4 с минусом, игры не лагают на максималках, хорошо держит заряд и быстро заряжается(хонор 10) ","Относительно плохой фокус камеры, бровь как у айфона 10 которая загараживает часть контента, посредственный дизайн телефона. "
91,"Скорость,не плохой экран,звук","При раздаче через вай фай с телефона на смарт ТВ через 40 мин очень сильно нагрелся,хотя в игровом режиме,сам по себе не греется"
92,"Не дорогой,крепкий корпус.",Слабая батарея
93,"Все
",Дорогой
94,"Достойный вариант до 10 тысяч рублей,корпус управление все супер.Была Люмия до этого прожыла 3 года,посмотрим выдержит новая нокиа. ",Пока нет!
95,Плюсов очень много ,Не обнаружил. 
96,"Экран, NFC, АКБ, скорость работы оболочки","Внешний динамик, ужасное, просто отвратительное качество фото"
97,Все устраивает. Отличный смартфончик. ,Нет
98,"Ламинированный экран, хорошая батарея, отдельные слоты сим и сд.","После загрузки обновлений от GOOGLE, ( типа системы безопасности) традиционные тормоза.
"
99,"Быстрый, не тупит, отличная камера. Соотношение цена - производительность, среди остальных версий iPhone.",Достаточно дорогой по отношению к андроид смартфонами. Но зато получаешь быстрый и безотказный аппарат.
100,Быстрый,"Камера такое ощущение, что не 48 мп"
101,"Быстродействие, экран, тонкий корпус.","Блокировка экрана снимается при проносе телефона возле магнитной застежки сумки. После отключения вседствие полной разрядки, невозможно включить при подключении ЗУ пока не наберет заряд, а затем глючит при включении, включать лучше отключив ЗУ. Батарею бы ему 4000 мАч. Если бы знал что будет Нокиа 2, то взял бы лучше его."
102,"Не обнаружил, т.к. даже искать не было смысла","Никогда не пользовался этим брэндом. Взял &quot;поюзать&quot; у товарища. Решил зайти на сайт мирпаласов с тяжелым медиа-контентом. Грузился сайт чрезмерно долго (сравниваю с HONOR_8_lite). При попытке воспользоваться интерактивными функциями &quot;виртуального магазина&quot; процессор &quot;пошел&quot; в непредсказуемый нагрев. Испугавшись последствий, пришлось закрыть браузер. Вывод: или процессор очень слаб, или платформа IOS не адаптирована под такой контент. На &quot;андроиде&quot; любой смарт очень шустро переваривает тот же контент. "
103,"Звук в наушниках и то спорно, ибо у сони вчегда лучше. Больше никаких","Ужасно ловит связь, быстро разряжается, камера на уровне  галакси s8, с s9 и p20 pro даже рядом не стоит, сравнивал со смартами друзей. Стекло старых поколений. Зарядный блок поддерживающий быструю зарядку за отдельну сумму в 5,5 тысяч (рили?!), совсем зажрались эпл. Быстродействие ниже чем у флагмонов других компаний. При разговорах посторонние фоновые шумы. Тихие внешние динамики.  Сканер отпечатка пальца достаточно медленный ( на уровне флагманов 2016 года."
104,Android pay,"Снимки фото сохраняются после перезагрузки телефона,не понятные настройки,невозможно большим пальцем ответить на входящий вызов(приходится одной рукой держать,а второй разблокировать),не возможно скачать,открыть документы..."
105,"Управление жестами, скорость работы устройства, дизайн, FaceID очень удобная функция. В общем доволен приобретением.","Царапается кромка, приходится носить в чехле чего я делать не люблю."
106,Камера,"Сотовый нагревается сильно при снятии на фото , и телефонном разговоре. Причем тоска телефона 2 дня"
107,Качество сборки,Очень дорого
108,хорошая батарейка. удобный в использовании. много функций. отличная камера. ,не всегда срабатывает сенсор отпечатка пальца. при перезаключении режима работы СИМ карты в &quot;ТОЛЬКО 4 G&quot; (для передачи данных) связь (входящие-исходящие) пропадает! ни кто не может дозваниваться!
109,"Honor view 20. Из плюсов могу отметить шикарный экран , приятное стекло и алюминий , быструю зарядку и автономность , разъём 3.5мм , камеру и режим ночной съёмки , качество динамика и быстроту действия.","Телефон хоть и не лагает , но есть неприятные баги. Иногда пропадет вибрация именно в системе , даже если телефон в вибро , то оно пропадает. При этом непонятно , это системная ошибка или сам вибромоторчик отказывает. Ещё хочу отметить неестественную цветопередачу неба , которую телефон вообще не в силе показать не то что преукрасив , а вообще исказив. Ну и отсутствие стерео и беспроводной зарядки. Ну и MagicUI для оноров. Зачем разделять EMUI на точно такую же оболочку ? При этом изначально созданную для китайского рынка. "
110,"Батарей, камера, экран","Экран большой, неудобно в руке держать, нет NFC"
111,"Простота в использовании, хороший экран, долго держит батарею, быстрый, удобный, друг во всем!",Для меня минусов в этом устройстве нету.
112,"Процессор просто &quot;летает&quot;, всё полностью устраивает и нравится.Хороший аппарат!",Их нет
113,Все просто летает. Фото и видео изумительные. Батареи хватает на 2 дня активного использования,"Плохо распознает лицо в темноте, отпечаток пальца тоже не с первого раза"
114,"стильный дизайн, отличная камера, очень быстр в работе",нет
115,Дизайн Камера Системная оболочка,явных минусов у телефона за такие деньги нет. 
116,"Мощное железо,хорошие камеры,стерео звук,сочный экран,достойная батарея....и многое другое!",Не обнаружил за год эксплуатации!
117,Отлично все!,Нельзя спрятать клавиши навигации и включить жесты. что кстати было бы очень кстати.
118,"Приятно лежит в руке, матовое стекло смотрится просто великолепно. Экран очень радует яркостью, цветами и поддержкой HDR. Очень быстрый сканер отпечатков пальцев. Чистая система Android без рекламы и мусора. Очень хорошая основная камера и фронтальная не подкачала. Bluetooth 5.0 и NFC так же относим в плюсы.2 SIM карты + карта памяти.Поддержка обновлений от Google в течении 3 лет.","Хотелось бы чуть больше аккумулятор , но на день хватает."
119,"Быстрота работы на курортах забыли что такое фотоаппараты и видеокамеры снимки класс
",Мало памяти на на 5 серии 
120,Лучше смартфона пока не встречал.,Все идеально
121,"Красивый, приятный на ощупь аппарат с хорошей камерой (Цейс) и голым андроидом. Отдельно хочу заметить вполне адекватную цену. Пишет, читает, звонит, навигатор работает. Этого функционала мне хватает более чем. Пишет видео в 4к вполне прилично за свои деньги. Если кому нужен недорогой достойный аппарат, то прям очень советую. ","Камера выпирает. Как по мне, это минус. И кнопка ассистента расположена очень неудобно, все время ее случайно нажимаешь. Как по мне, она вообще не нужна там. Ассистентом не пользуюсь. Иногда не срабатывает NFC.  Если слушать музыку через аудиосистему в машине, то вызовы будут в бесшумном режиме, можно не услышать. "
122,Можно звонить.,"Батарейка. Теперь я человек зарядка, таскать ее нужно постоянно с собой.  Работа некоторых приложений просто удивляет своей корявостью и кривотой."
123,"Камеры, оптимизация, скорость работы, 45ват быстрая зарядка в комплекте. ",Нагревание при длительном использовании в тяжёлых играх. 
124,"Экран огонь, батарея нормально держит, неплохой дизайн, железо справляется хорошо с возложеными на него задачами. ",Основная камера при плохом освещении очень шумная.
125,"Офигенная камера, довольно шустрый телефон",Не заметил
126,Да телефон одно преимущество,не выявлены
127,Размер,Подключение наушников
128,"Очень быстрая работа приложений, никаких глюков. ",Нет
129,"Отличный дизайн, при размере в 5.5 хорошо сидит в руке. Громкое и объемное звучание динамика. и это Нокия","Главный недостаток это батарея и разговорный динамик, даже на максимальной громкости бывает не слышно оппонента."
130,"Несомненно камера , шикарные снимки в любых освещениях , аккумулятор , быстрая зарядка , хорошее олеофобное покрытие",После смартфонов сяоми нет
131,"Обалденный дизайн. Мне, как взрослому человеку, дизайн телефона был совершенно не интересен до этого момента - все одинаково... Экран с одной стороны, камера с другой, какие там материалы или расположение отверстий было совершенно до... Но этот просто что-то... Я его взял в руки, вертел, смотрел и радовался как ребенок!
Ещё огромный плюс это большой дисплей и камера хорошая... С предыдущим сони икс ничто не сравнится, кроме более новых сони, но и эта неплохая. Но вот искусственный интеллект в хоноре, возможно, ставит эту камеру на уровень с сони, так как фотки получаются как на зеркалу... Совсем не ожидал, думал, очередной маркетинговый трюк. 
 В общем, за эту цену, да и за большую, наверно, ничего лучше я не нашёл. Самсунги и айфоны переоценены, а остальное все серо и сливается в единую массу. ","Нет разъёма для флешкарты, если кому-то вдруг будет мало 128 гб. 
Других минусов пока не увидел. Даже аккумулятор держит солидно, во многом благодаря родному приложению по оптимизации энергопотребления."
132,"Отличные динамики, фотографии и видео получаются качественными, заряд держится долго, удобен в использовании.",тяжелее других моделей и скользкий.
133,........,"В первую неделю стал сбоить микрофон, меня не слышали, включаешь выключаешь громкую связь и всё работает. После обновления до 7.1.1 погас экран, вибрация на кнопках чувствуется но ничего сделать нельзя, через какое то время сам заработал, и с тех пор такое периодически случается."
134,Камера камера камера,Их просто нет
135,Горжусь этим телефоном ,Нет 
136,Очень мощный и шустрый. Намного шустрее моего прежнего Samsung galaxy S9 plus,Нет
137,КАМЕРА,НЕТ
138,"У меня Huawei p 20 pro. Любимый смартфон из всех, что у меня был. Полностью сбалансирован. Есть всё необходимое. Когда взяла его в руки, сразу же в него влюбилась. А после использования вообще... Восторг!!! Камера, батарея, влагозащита... Вообщем плюсы для меня в этом устройстве, это само устройство. ",Лично для моих требований их нет. 
