,text,rate
49,"Супер быстрая работа смартфона, отличная камера, Face ID работает даже ночью. Нет Очень рада покупке. Самый лучший айфон ",5
50,Камера. Автономность. Железо. Нет. +++,5
51,"Шикарный аппарат за свою цену, чистый андроид!, Отличная камера, корпус цельный алюминий - впечатляет. Батарея слабовата но компенсируется быстрой зарядкой. Небольшие лаги: камера, гарнитура. Мне очень нравится! ",5
52,"Одни плюсы. Есть только один мину, и то не для всех, отсутствие Jack 3.5. В общем и целом и просто быть не может, особенно учитывая цену. Доволен как слон. Если хотите купить такой смартфон, но есть сомнения, то откидывайте все сомнения в сторону и берите этот топчик :) Его с лихвой хватит до Mi 8, 9, 10 - 20, или вообще новой топовой линейки от Xiaomi))) На мыле почему-то отсутствует модель 6128, поэтому выбрал 664, но пишу про 128)))",5
53,"Качество , батарея . Ми аккаунт , подгоняет . Лучше его не регистрировать . В целом 5+",5
54,"Скорость, удобство, быстрая зарядка, не разу за год владения не завис.  Нет Давно хотел хороший смартфон за вменяемые деньги. ",5
55,"Чистый андроид и хороший экран Минусов много:торохтящие как погремушка клавиши громкости и питания,подтупливающий сканер отпечатка пальца и т.д.... Помня все нокии которые у меня были,купил себе новенький Nokia 5.Как же я ошибался...То,что сейчас выпускают под брендом нокии тянет на китайпром среднего качества.В итоге через 5 месяцев использования-аппарат в ремонте по гарантии,а именно-севший разговорный динамик(собеседника можно услышать только при полной тишине вокруг),умер динамик вызова(вот так просто музыка играла,а потом раз,и тишина),умер wi-fi модуль(к сети подключается,но сообщает что сеть без доступа к интернету),умер LTE модуль(все так же как и с wi-fi).И плюс ко всему за пять  и месяцев 3 флешки в данном аппарате стали просто мусором(телефон выдает ошибку флеш карты по типу&quot;сбой работы,накопитель неисправен&quot; и на этом все-ляля пировать телефон ее не желает,а  ПК ее и вовсе не видит.Ито все при том,что пользовались аппаратом не часто-20-30 минут разговора в день,проверить почту,прочитать пару статей.",3
56,"Память, скорость, качество камеры!!!!  При удалении смс нельзя выбрать только часть, либо по одному сообщению удалять или все переписку...  Шикарный телефон, восторг!!!! ",5
57,"Только дизайн и всё  Фотографии отвратительного качества , устройство подвисает сильно при длительном прослушивании музыки и серфинге в инете . Лечиться только перезагрузкой аппарата. После переустановки операционной системы на андроид 8 , камера стала более менее сносно выдавать фото , стал чуть шустрее .  Не стоит этих денег максимум 7-8 тысячи руб ",3
58,"Стильный дизайн, шикарный звук, замечательная цветопередача, ловит сеть даже там,где не ловит никто)) Экран быстро собирает отпечатки пальцев(но это легко решается) Телефон просто замечательный.По сборке претензий никаких.Сканер отпечатка пальцев работает шустро.Камера снимает четко,снимки яркие и насыщенные.Звук просто потрясающий.Экран яркий,с хорошими углами обзора.Вообще,для меня он стал любимчиком(да простит меня мой бывший Xiaomi). Ни разу не пожалела о покупке.",5
59,лучший смарт как всгда сериb NOTE нет хорошочто в отличии от NOTE 10  Оставили разъём 3.5 а то без минидека како то н полноценный смарт получается,5
60,"Долго держит заряд великолепный звук небольшие габариты  Малый выбор защитных чехлов , пленок , стекол  Купил после z1 сомраст . Выбирал между айфон 7 и этой моделью . Своим выбором очень доволен",5
61,"Отличная камера задняя и передняя мощный процессор отличный дизайн. Нет возможности вставить карту памяти. Телефон превосходный есть все что нужно, глазок камеры слева не мешает имеется режим защиты зрения и 2 симкарты с 4G.",5
62,"Камера, материал, начинка, цена Хрупкое стекло на задней панели Был лучшим по ценефункционалукачествукамере",5
63,"Корпус из метала, красиво смотрится в глянцевом синем цвете, замечательный 2к экран с хорошей яркостью и передачей цветов, snapdragon 835, 4 gb ОЗУ, чистый андроид без оболочек, хорошее быстродействие системы. Офигенная фронталка на 13 МП, Сдвоиный задний модуль 13+13 хорошее качество снимков, хорошая стабилизация при записи видео. В скором времени обновится до Android 9 pie!) Разрабы приколисты какие-то) то камеру убьют кривым апдейтом не предназначеным для nokia 8 благо потом исправляют) да и вообще куча косяков по части софта  Идеальный смартфон на 2018-19г. Пользуюсь нарадоваться не могу.",5
64,Всё отлично. Даже Google cam можно прикрутить Огромный дисплей. 5&quot; хватит за глаза. Отличная модель.,4
65,"ШУСТРЫЙ, АККУМУЛЯТОР КЛАСС НЕТ ВОСТОРГ",5
66,"-Отличный OLED дисплей. -хороший минимальный объём памяти 128 Гб. -превосходный «старый» дизайн который придётся по вкусу большинству. -очень хорошая камера -Поддержка 5g и mmwave 5g (Только для США). - улучшенный ЛТЕ модуль до 2 Гигабит  - челка стала поменьше, а соотношение  экрана и корпуса выше. - A14 Bionic монстр по сравнению с любым процессором от квалкома да и любого другого. -6 Гигабайт оперативной памяти -4K 60fps Dolby vision видио запись.   -Батарея стала меньше, но в режиме ЛТЕ телефон работает не меньше старых. Если перейти на 5g то телефон будет садиться намного быстрее(примерно на 2-3 часа меньше) .  - нету 120 Hz дисплея.  Телефон оставил хорошие впечатления, особенно возврат к старому дизайну. Пользуюсь телефоном в США и 5 G тут работает на Т Мобайле хорошо включая миллиметровый. Обновлялся с XR скорость и шустрость телефона заметна сразу. ",5
67,"Камеры, экран, время работы, скорость работы, не виснет не логает о слова совсем. Нет, заводской записи звонков, нет поиска в журнале вызовов. Впечатления хорошие, два раза покупал этот смартфон. ",5
68,Одни плюсы+++++ Нет.  Отличный ,5
69,"Удобство лаунчера,
скорость работы,
камера,
аккумулятор нет альтернатива может быть когда выйдет OnePlus 7",5
70,"Компактный, красивый, не дорогой, шустрый  Когда замерзает выключается  Хороший телефон пользуюсь 1,5 года",5
71,"Лучшее устройство на данный момент, мощный, быстрая зарядка, цена, эргономичный Глуховат динамик, камера могла быть лучше Рекомендую, практичнее, чем 6Т",5
72,"Камера камера камера Их просто нет Юзаю уже 2 месяца шустрый, не глючит в общем сбылась мечта))) ",5
73,"Скорость работы, качество. Программная обработка фото. Дизайн: не нравится немного выгнутый верх и них, так же не нравится угловатость в толщине, нужно было сделать абсолютно полукруглым. Реальная цена 25 тыс. Общие впечатления хорошие.",4
74,"Отличный экран , хорошая камера, отличное качество сборки. Легко царапается , так себе батарея. Скажу так плюсов больше чем минусов . Нокия 7.1 хороший аппарат правда цена на старте продаж была завышенной. В целом всё хорошо.",4
75,"Новый. Попонтоваться можно. Большой объем памяти - это огромное преимущество. Хороший фотки. Через год активного пользования телефоном сел динамик! Разговаривать можно, поставив на громкую связь или через наушники! Была бы раньше возможность купить аналог, но не S8 - купила бы",4
76,"Экран, камеры, производительность все хорошо!  АКБ не сказал бы что двое суток держит. На день хватает. Это не минус . Стильный, современный, не обычный по своему. Стоит своих денег. ",5
77,Экран батарея отличные,5
78," Разблокировка и по лицу и по отпечатку пальца работает мгновенно, заряда хватает на сутки при активном использовании - интернет, музыка, фото,звонки, игры. Отличные фото, особенно ночью и при плохом освещении(в помещении при приглушенном свете) , яркий сочный экран, хорошо видно на солнце. Не тормозит, не греется,  за 6 месяцев - никаких глюков и зависаний.  Очень маркое заднее стекло)) жаль прятать в чехол такую красоту! Не всегда стабильно хорошо снимает, нет стабилизатора в видео.  Отличный телефон! До него были все Самсунги, не пожалела, что перешла на huawei, использую пол года, нареканий нет. Понизила бал за отсутствие стабилизатора на камере. ",4
79,"Компактный , есть порт для наушников .  Слабый аккумулятор, кнопка home щёлкает громко , и часто ломается . Хорошее, рад пользоваться .",5
80,"Отличный телефон ребята тем более за такую цену, внешний вид просто шедевр, сборка на отлично, никаких зазоров, щелей... А дисплей просто глаз не оторвать Да нет у него минусов Говорю же - шедевр среди мобил",5
81,"внешний вид просто очень сильно быстро садиться батарея, я уже молчу если телефон работает в мобильном интернете,  я очень сильно разочаровался",1
82,"Броская внешность. Достаточный объем памяти, работает очень быстро, переключается между приложениями моментально. 
Фотокамера отличная.
Актуальные для меня 2 сим. Экран не реагирует на пальцы в перчатках.
Нет возможности настроить разные звуки мелодии на электронную почту,
СМС, сообщения Viber, WhatsApp,  Skype и т.д. Это неудобно, нужно доставить телефон каждый раз, как звякнет :-)
Нельзя приглушить или выключить звук при приеме звонка.
 В целом нравится, сожалениями о покупки Nokia 8 не мучаюсь.",4
83,"Удобный в использовании, хороший дизайн, технический не уступает топовым моделям более дорогих брендов .  Пока не выявлены! Оптимальная стоимость за качество и технические возможности девайса.
Оставляют положительные эмоции у владельца данного смартфона.",5
84,"1_Широкий экран и при этом удобно держать, нормальные цвета
2_Безконтактная оплата и возможность подключения к устройствам, например к аудиоколонкам
3_Хорошая камера и много настроек, режим профи и AR эффект
4_Интересная функция, дефрагментация файлов, которую смартфон сам предлагает сделать если что-то замедляется
6_Достаточно громкий внешний динамик. А если через наушники, то можно эквалайзером настроить звук и добавить эффекты
7_Каждый месяц приходят обновления и патчи Может быть немного греется, но это не существенно В итоге я думаю что этот смартфон самый универсальный аппарат ни разу не подвёл и до сих пор быстро работает",5
85,"Крепкий корпус, за 1.5 года экран только поцарапался. Быстрый, скорость работы на высоте Один главный минус, может мне не повезло, экран, две поломки за 1.5 года купил в декабре 2017, 8 месяцев никаких проблем, но перед выходом Хs появилась полоса на экране, сильно не беспокоила поэтому отнес в сервис только под конец первого года гарантии. Модуль поменяли по гарантии, проходит еще 8 месяцев перед выходом iphone 11 началось с экраном что то невообразимое, (не просто так пишу про даты выходов новых телефонов т.к закрадываются подозрения, каждая проблема с экраном происходит перед выходом новой модели) экран начал жить своей жизнью сенсор похоже взбесился, само по себе происходят &quot;нажатия&quot; на экран по этому телефон сам по себе заходит в приложения может позвонить, сообщения набрать веселее некуда такие &quot;поэмы&quot; выходят))) при поиске телефона службы поддержки выяснилось о программе замены дисплея при таких неисправностях,  после звонка в службу поддержки меня направили в сервис да и пояснили про 2 года гарантии в РФ на все телефоны продаваемые на территории РФ. Посчитал на сколько меня развели продавцы продавая мне дополнительную гарантию на второй год прослезился.29.09 2109 только появилось время отвезти в сервис надеюсь на удачный исход.",2
